Site ID OCK;Company site name;Region;Province;District;Site locate Address;Long;Lat;Subsidiary;Entity,,,,,,,,
10AGG1001;AG 194;South;An Giang;Châu Thành;0234 Ấp Vĩnh Thành,xã Vĩnh An,huyện Châu Thành,tỉnh An Giang;105,126;10,43532;GII;GII,,,
10AGG1002;AG 195;South;An Giang;Châu Thành;Số 8,xã Vĩnh Nhuận,huyện Châu Thành,tỉnh An Giang;105,224;10,40268;GII;GII,,,
10AGG1003;AG 197;South;An Giang;Châu Thành;Tổ 33,Bình An 1,xã An Hòa,huyện Châu Thành,tỉnh An Giang;105,32533;10,49861;GII;GII,,
10AGG1004;AG 199;South;An Giang;Châu Thành;Ấp Hòa Thịnh,xã Hòa Bình Thạnh,huyện Châu Thành,tỉnh An Giang;105,34345;10,38513;GII;GII,,,
10AGG1005;AG 204;South;An Giang;Chợ Mới;240 ấp Phú Trung,xã Mỹ An,huyện Chợ Mới,An Giang;105,504;10,4844;GII;GII,,,
10AGG1006;AG 205;South;An Giang;Chợ Mới;Ấp Nhơn Lộc,xã Nhơn Mỹ,huyện Chợ Mới,tỉnh An Giang;105,41298;10,45708;GII;GII,,,
10AGG1007;AG 206;South;An Giang;Chợ Mới;369 ấp Long Hòa II,xã Long Kiến,huyện Chợ Mới,tỉnh An Giang;105,46072;10,48475;GII;GII,,,
10AGG1008;AG 207;South;An Giang;Chợ Mới;Ấp An Phú,xã An Thạnh Trung,huyện Chợ Mới,tỉnh An Giang;105,49043;10,45316;GII;GII,,,
10AGG1009;AG 208;South;An Giang;Chợ Mới;Tổ 1,ấp An Phú,xã Hội An,huyện Chợ Mới,tỉnh An Giang;105,53581;10,44899;GII;GII,,
10AGG1010;AG 209;South;An Giang;Chợ Mới;232 Ấp An Ninh,Xã Hội An,huyện Chợ Mới,An Giang.;105,54813;10,4155;GII;GII,,,
10AGG1011;AG 210;South;An Giang;Chợ Mới;A6p1 An Khánh,xã An Thạnh Trung,huyện Chơ Mới,tỉnh An Giang;105,49377;10,40969;GII;GII,,,
10AGG1012;AG 211;South;An Giang;Chợ Mới;Ấp Kiến Quới 1,xã Kiến Thành,huyện Chợ Mới,tỉnh An Giang;105,4088;10,5309;GII;GII,,,
10AGG1013;AG 212;South;An Giang;Chợ Mới;Ấp Mỹ Hoa,xã Nhơn Mỹ,Chợ Mới,An Giang.;105,38625;10,47681;GII;GII,,,
10AGG1014;AG 213;South;An Giang;Chợ Mới;139 Ấp Thị 2,Thị trấn Mỹ Luông,Chợ Mới,An Giang.;105,48801;10,51327;GII;GII,,,
10AGG1015;AG 214;South;An Giang;Chợ Mới;337 Tổ 12,Ấp Trung,Xã Mỹ Hiệp,Chợ Mới,An Giang.;105,52679;10,49778;GII;GII,,
10AGG1016;AG 215;South;An Giang;Chợ Mới;Ấp Mỹ Tân,xã Mỹ Hội Đông,huyện Chợ Mới,tỉnh An Giang;105,33874;10,51824;GII;GII,,,
10AGG1017;AG 216;South;An Giang;Chợ Mới;295 Tổ 7,ấp Phú Thượng 3,xã Kiến An,huyện Chợ Mới,tỉnh An Giang;105,37344;10,52787;GII;GII,,
10AGG1018;AG 217;South;An Giang;Chợ Mới;131 Nguyễn Huệ,TT Chợ Mới,huyện Chợ Mới,tỉnh An Giang;105,39695;10,55149;GII;GII,,,
10AGG1019;AG 218;South;An Giang;Chợ Mới;Ấp Mỹ Hạnh,xã Mỹ Hội Đông,huyện Chợ Mới,tỉnh An Giang;105,35441;10,49367;GII;GII,,,
10AGG1020;AG 219;South;An Giang;Chợ Mới;593 Ấp Long Thạnh 2,xã Long Giang,huyện Chợ Mới,tỉnh An Giang;105,42766;10,47874;GII;GII,,,
